,Age,Candidate,Criminal_Case,PC_NAME,Education,Party,ST_NAME,Winner,Year,Liabilities_num,Assets_num,ST_PC
3856,65,Ramdas Chandrabhanji Tadas,0,WARDHA,10th Pass,BJP,MAHARASHTRA,Yes,2019,8961387,65807822,MAHARASHTRA:WARDHA
3864,67,Dr Rajkumar Ranjan Singh,0,INNER MANIPUR,Doctorate,BJP,MANIPUR,Yes,2019,0,19616174,MANIPUR:INNER MANIPUR
3881,63,Shri. Sha. Bra. Dr. Jay Siddeshwar Shivachrya Mahaswamiji,0,SOLAPUR,Graduate,BJP,MAHARASHTRA,Yes,2019,0,27870079,MAHARASHTRA:SOLAPUR
3891,57,Sadashiv Kisan Lokhande,1,SHIRDI,10th Pass,SHS,MAHARASHTRA,Yes,2019,205100,113710526,MAHARASHTRA:SHIRDI
3914,46,Bhavana Pundlikrao Gawali,3,YAVATMAL WASHIM,Graduate,SHS,MAHARASHTRA,Yes,2019,7396250,96873189,MAHARASHTRA:YAVATMAL WASHIM
3922,54,Sanjaykaka Patil,1,SANGLI,10th Pass,BJP,MAHARASHTRA,Yes,2019,23345328,191192187,MAHARASHTRA:SANGLI
3926,57,Rajan Baburao Vichare,9,THANE,12th Pass,SHS,MAHARASHTRA,Yes,2019,54080733,181441465,MAHARASHTRA:THANE
3929,38,Amol Ramsing Kolhe,0,SHIRUR,Graduate Professional,NCP,MAHARASHTRA,Yes,2019,1488116,43351521,MAHARASHTRA:SHIRUR
3995,31,Khadse Raksha Nikhil,0,RAVER,Graduate,BJP,MAHARASHTRA,Yes,2019,0,172713734,MAHARASHTRA:RAVER
4001,65,Vinayak Bhaurao Raut,3,RATNAGIRI SINDHUDURG,Post Graduate,SHS,MAHARASHTRA,Yes,2019,2830000,50660534,MAHARASHTRA:RATNAGIRI SINDHUDURG
4004,53,Krupal Balaji Tumane,0,RAMTEK,Graduate,SHS,MAHARASHTRA,Yes,2019,4228793,95603165,MAHARASHTRA:RAMTEK
4035,64,Tatkare Sunil Dattatray,0,RAIGAD,Others,NCP,MAHARASHTRA,Yes,2019,3221073,127487277,MAHARASHTRA:RAIGAD
4039,52,Jadhav Sanjay (Bandu) Haribhau,6,PARBHANI,10th Pass,SHS,MAHARASHTRA,Yes,2019,4519583,41040011,MAHARASHTRA:PARBHANI
4040,51,Gavit Rajendra Dhedya,0,PALGHAR,Graduate,SHS,MAHARASHTRA,Yes,2019,30223375,87616920,MAHARASHTRA:PALGHAR
4079,68,Girish Bhalchandra Bapat,1,PUNE,Graduate,BJP,MAHARASHTRA,Yes,2019,1793891,57959302,MAHARASHTRA:PUNE
